new,old
Vitvi00g01963,VIT_00s0556g00020
Vitvi00g01964,VIT_00s0557g00020
Vitvi00g01966,VIT_00s0560g00010
Vitvi00g01967,VIT_00s0560g00020
Vitvi00g01968,VIT_00s0561g00010
Vitvi00g01969,VIT_00s0566g00010
Vitvi00g01970,VIT_00s0566g00020
Vitvi00g01978,VIT_00s0590g00020
Vitvi00g01996,VIT_00s0641g00010
Vitvi00g01997,VIT_00s0641g00030
Vitvi00g01998,VIT_00s0646g00020
Vitvi00g01999,VIT_00s0646g00030
Vitvi00g02009,VIT_00s0671g00010
Vitvi00g02013,VIT_00s0685g00020
Vitvi00g02019,VIT_00s0706g00010
Vitvi00g02022,VIT_00s0710g00010
Vitvi00g02040,VIT_00s0762g00020
Vitvi00g02041,VIT_00s0762g00030
Vitvi00g02044,VIT_00s0797g00010
Vitvi00g02047,VIT_00s0809g00010
Vitvi00g02048,VIT_00s0809g00020
Vitvi00g02051,VIT_00s0827g00010
Vitvi00g02052,VIT_00s0827g00020
Vitvi00g02053,VIT_00s0827g00030
Vitvi00g02054,VIT_00s0827g00040
Vitvi00g02055,VIT_00s0827g00050
Vitvi00g02058,VIT_00s0835g00010
Vitvi00g02059,VIT_00s0841g00020
Vitvi00g02062,VIT_00s0848g00030
Vitvi00g02063,VIT_00s0854g00020
Vitvi00g02064,VIT_00s0854g00050
Vitvi00g02067,VIT_00s0866g00010
Vitvi00g02072,VIT_00s0872g00010
Vitvi00g02072,VIT_00s0872g00020
Vitvi00g02075,VIT_00s0888g00010
Vitvi00g02077,VIT_00s0895g00010
Vitvi00g02084,VIT_00s0922g00010
Vitvi00g02088,VIT_00s0934g00010
Vitvi00g02089,VIT_00s0947g00020
Vitvi00g02097,VIT_00s0976g00010
Vitvi00g02098,VIT_00s0986g00010
Vitvi00g02099,VIT_00s0988g00020
Vitvi00g02102,VIT_00s1002g00020
Vitvi00g02106,VIT_00s1034g00010
Vitvi00g02111,VIT_00s1194g00020
Vitvi00g02112,VIT_00s1209g00010
Vitvi00g02116,VIT_00s1213g00010
Vitvi00g02117,VIT_00s1213g00020
Vitvi00g02120,VIT_00s1221g00010
Vitvi00g02136,VIT_00s1283g00010
Vitvi00g02142,VIT_00s1308g00020
Vitvi00g02145,VIT_00s1328g00010
Vitvi00g02146,VIT_00s1328g00020
Vitvi00g02147,VIT_00s1331g00010
Vitvi00g02150,VIT_00s1348g00010
Vitvi00g02156,VIT_00s1355g00010
Vitvi00g02157,VIT_00s1355g00020
Vitvi00g02165,VIT_00s1390g00010
Vitvi00g02167,VIT_00s1406g00010
Vitvi00g02171,VIT_00s1448g00020
Vitvi00g02172,VIT_00s1448g00030
Vitvi00g02173,VIT_00s1455g00010
Vitvi00g02174,VIT_00s1455g00020
Vitvi00g02175,VIT_00s1463g00010
Vitvi00g02177,VIT_00s1491g00010
Vitvi00g02178,VIT_00s1492g00020
Vitvi00g02184,VIT_00s1522g00010
Vitvi00g02191,VIT_00s1562g00010
Vitvi00g02199,VIT_00s1616g00010
Vitvi00g02205,VIT_00s1652g00010
Vitvi00g02208,VIT_00s1667g00010
Vitvi00g02211,VIT_00s1675g00010
Vitvi00g02213,VIT_00s1684g00010
Vitvi00g02214,VIT_00s1688g00010
Vitvi00g02217,VIT_00s1711g00020
Vitvi00g02219,VIT_00s1737g00010
Vitvi00g02220,VIT_00s1754g00010
Vitvi00g02224,VIT_00s1803g00010
Vitvi00g02225,VIT_00s1814g00010
Vitvi00g02226,VIT_00s1830g00010
Vitvi00g02232,VIT_00s1873g00010
Vitvi00g02234,VIT_00s1914g00010
Vitvi00g02236,VIT_00s1927g00010
Vitvi00g02237,VIT_00s1927g00020
Vitvi00g02238,VIT_00s1945g00010
Vitvi00g02240,VIT_00s1967g00010
Vitvi00g02243,VIT_00s2032g00010
Vitvi00g02244,VIT_00s2034g00010
Vitvi00g02246,VIT_00s2044g00010
Vitvi00g02252,VIT_00s2146g00010
Vitvi00g02258,VIT_00s2182g00020
Vitvi00g02260,VIT_00s2201g00010
Vitvi00g02261,VIT_00s2213g00010
Vitvi00g02263,VIT_00s2221g00010
Vitvi00g02264,VIT_00s2246g00010
Vitvi00g02265,VIT_00s2248g00010
Vitvi00g02268,VIT_00s2254g00010
Vitvi00g02269,VIT_00s2258g00010
Vitvi00g02270,VIT_00s2262g00010
Vitvi00g02271,VIT_00s2263g00010
Vitvi00g02272,VIT_00s2265g00010
Vitvi00g02274,VIT_00s2279g00010
Vitvi00g02281,VIT_00s2342g00020
Vitvi00g02284,VIT_00s2395g00010
Vitvi00g02287,VIT_00s2416g00010
Vitvi00g02289,VIT_00s2419g00010
Vitvi00g02292,VIT_00s2436g00010
Vitvi00g02293,VIT_00s2439g00010
Vitvi00g02294,VIT_00s2440g00010
Vitvi00g02300,VIT_00s2485g00010
Vitvi00g02301,VIT_00s2496g00010
Vitvi00g02305,VIT_00s2536g00010
Vitvi00g02313,VIT_00s2588g00010
Vitvi00g02317,VIT_00s2608g00020
Vitvi00g02320,VIT_00s2628g00010
Vitvi00g02323,VIT_00s2643g00010
Vitvi00g02324,VIT_00s2643g00020
Vitvi00g02327,VIT_00s2651g00020
Vitvi00g02328,VIT_00s2652g00010
Vitvi00g02329,VIT_00s2652g00020
Vitvi00g02333,VIT_00s2679g00010
Vitvi00g02336,VIT_00s2698g00010
Vitvi00g02337,VIT_00s2704g00010
Vitvi00g02345,VIT_00s2769g00010
Vitvi00g02357,VIT_00s2864g00010
Vitvi00g02358,VIT_00s2879g00010
Vitvi00g02359,VIT_00s2879g00020
Vitvi01g00001,VIT_01s0011g00010
Vitvi01g00005,VIT_01s0011g00050
Vitvi01g00006,VIT_01s0011g00070
Vitvi01g00008,VIT_01s0011g00100
Vitvi01g00011,VIT_01s0011g00110
Vitvi01g00012,VIT_01s0011g00120
Vitvi01g00013,VIT_01s0011g00140
Vitvi01g00014,VIT_01s0011g00150
Vitvi01g00015,VIT_01s0011g00170
Vitvi01g00019,VIT_01s0011g00190
Vitvi01g00023,VIT_01s0011g00210
Vitvi01g00024,VIT_01s0011g00230
Vitvi01g00025,VIT_01s0011g00240
Vitvi01g00026,VIT_01s0011g00250
Vitvi01g00027,VIT_01s0011g00280
Vitvi01g00028,VIT_01s0011g00290
Vitvi01g00029,VIT_01s0011g00300
Vitvi01g00030,VIT_01s0011g00340
Vitvi01g00031,VIT_01s0011g00350
Vitvi01g00033,VIT_01s0011g00370
Vitvi01g00034,VIT_01s0011g00380
Vitvi01g00035,VIT_01s0011g00390
Vitvi01g00036,VIT_01s0011g00400
Vitvi01g00037,VIT_01s0011g00410
Vitvi01g00038,VIT_01s0011g00420
Vitvi01g00039,VIT_01s0011g00450
Vitvi01g00041,VIT_01s0011g00460
Vitvi01g00042,VIT_01s0011g00470
Vitvi01g00043,VIT_01s0011g00490
Vitvi01g00045,VIT_01s0011g00500
Vitvi01g00046,VIT_01s0011g00510
Vitvi01g00047,VIT_01s0011g00520
Vitvi01g00048,VIT_01s0011g00530
Vitvi01g00049,VIT_01s0011g00540
Vitvi01g00050,VIT_01s0011g00550
Vitvi01g00051,VIT_01s0011g00570
Vitvi01g00052,VIT_01s0011g00590
Vitvi01g00053,VIT_01s0011g00600
Vitvi01g00054,VIT_01s0011g00610
Vitvi01g00055,VIT_01s0011g00620
Vitvi01g00056,VIT_01s0011g00640
Vitvi01g00058,VIT_01s0011g00650
Vitvi01g00059,VIT_01s0011g00670
Vitvi01g00060,VIT_01s0011g00680
Vitvi01g00061,VIT_01s0011g00690
Vitvi01g00062,VIT_01s0011g00700
Vitvi01g00063,VIT_01s0011g00710
Vitvi01g00064,VIT_01s0011g00730
Vitvi01g00065,VIT_01s0011g00740
Vitvi01g00066,VIT_01s0011g00750
Vitvi01g00067,VIT_01s0011g00760
Vitvi01g00068,VIT_01s0011g00770
Vitvi01g00070,VIT_01s0011g00780
Vitvi01g00071,VIT_01s0011g00790
Vitvi01g00072,VIT_01s0011g00800
Vitvi01g00073,VIT_01s0011g00810
Vitvi01g00074,VIT_01s0011g00840
Vitvi01g00075,VIT_01s0011g00850
Vitvi01g00076,VIT_01s0011g00860
Vitvi01g00076,VIT_01s0011g00870
Vitvi01g00077,VIT_01s0011g00880
Vitvi01g00078,VIT_01s0011g00890
Vitvi01g00079,VIT_01s0011g00900
Vitvi01g00080,VIT_01s0011g00910
Vitvi01g00081,VIT_01s0011g00930
Vitvi01g00082,VIT_01s0011g00940
Vitvi01g00083,VIT_01s0011g01020
Vitvi01g00084,VIT_01s0011g01030
Vitvi01g00085,VIT_01s0011g01060
Vitvi01g00086,VIT_01s0011g01080
Vitvi01g00087,VIT_01s0011g01110
Vitvi01g00088,VIT_01s0011g01120
Vitvi01g00089,VIT_01s0011g01130
Vitvi01g00090,VIT_01s0011g01150
Vitvi01g00091,VIT_01s0011g01160
Vitvi01g00092,VIT_01s0011g01170
Vitvi01g00092,VIT_01s0011g01180
Vitvi01g00094,VIT_01s0011g01190
Vitvi01g00095,VIT_01s0011g01200
Vitvi01g00096,VIT_01s0011g01220
Vitvi01g00097,VIT_01s0011g01230
Vitvi01g00098,VIT_01s0011g01240
Vitvi01g00099,VIT_01s0011g01260
Vitvi01g00100,VIT_01s0011g01270
Vitvi01g00101,VIT_01s0011g01280
Vitvi01g00103,VIT_01s0011g01290
Vitvi01g00104,VIT_01s0011g01300
Vitvi01g00105,VIT_01s0011g01310
Vitvi01g00106,VIT_01s0011g01320
Vitvi01g00108,VIT_01s0011g01360
Vitvi01g00110,VIT_01s0011g01390
Vitvi01g00111,VIT_01s0011g01410
Vitvi01g00112,VIT_01s0011g01420
Vitvi01g00113,VIT_01s0011g01440
Vitvi01g00114,VIT_01s0011g01450
Vitvi01g00115,VIT_01s0011g01460
Vitvi01g00116,VIT_01s0011g01470
Vitvi01g00119,VIT_01s0011g01480
Vitvi01g00120,VIT_01s0011g01490
Vitvi01g00121,VIT_01s0011g01500
Vitvi01g00121,VIT_01s0011g01510
Vitvi01g00122,VIT_01s0011g01520
Vitvi01g00123,VIT_01s0011g01530
Vitvi01g00124,VIT_01s0011g01540
Vitvi01g00126,VIT_01s0011g01560
Vitvi01g00128,VIT_01s0011g01570
Vitvi01g00130,VIT_01s0011g01590
Vitvi01g00131,VIT_01s0011g01600
Vitvi01g00132,VIT_01s0011g01610
Vitvi01g00133,VIT_01s0011g01620
Vitvi01g00134,VIT_01s0011g01630
Vitvi01g00135,VIT_01s0011g01640
Vitvi01g00136,VIT_01s0011g01660
Vitvi01g00137,VIT_01s0011g01680
Vitvi01g00138,VIT_01s0011g01690
Vitvi01g00138,VIT_01s0011g01700
Vitvi01g00139,VIT_01s0011g01710
Vitvi01g00140,VIT_01s0011g01800
Vitvi01g00141,VIT_01s0011g01810
Vitvi01g00142,VIT_01s0011g01820
Vitvi01g00143,VIT_01s0011g01830
Vitvi01g00145,VIT_01s0011g01850
Vitvi01g00146,VIT_01s0011g01870
Vitvi01g00147,VIT_01s0011g01880
Vitvi01g00148,VIT_01s0011g01890
Vitvi01g00149,VIT_01s0011g01900
Vitvi01g00150,VIT_01s0011g01910
Vitvi01g00151,VIT_01s0011g01930
Vitvi01g00152,VIT_01s0011g01940
Vitvi01g00155,VIT_01s0011g01960
Vitvi01g00156,VIT_01s0011g01970
Vitvi01g00157,VIT_01s0011g01990
Vitvi01g00158,VIT_01s0011g02000
Vitvi01g00159,VIT_01s0011g02020
Vitvi01g00160,VIT_01s0011g02030
Vitvi01g00161,VIT_01s0011g02040
Vitvi01g00162,VIT_01s0011g02060
Vitvi01g00163,VIT_01s0011g02080
Vitvi01g00165,VIT_01s0011g02090
Vitvi01g00166,VIT_01s0011g02100
Vitvi01g00167,VIT_01s0011g02110
Vitvi01g00168,VIT_01s0011g02120
Vitvi01g00169,VIT_01s0011g02130
Vitvi01g00170,VIT_01s0011g02150
Vitvi01g00171,VIT_01s0011g02160
Vitvi01g00172,VIT_01s0011g02170
Vitvi01g00173,VIT_01s0011g02180
Vitvi01g00174,VIT_01s0011g02190
Vitvi01g00175,VIT_01s0011g02200
Vitvi01g00176,VIT_01s0011g02210
Vitvi01g00176,VIT_01s0011g02220
Vitvi01g00178,VIT_01s0011g02230
Vitvi01g00179,VIT_01s0011g02240
Vitvi01g00180,VIT_01s0011g02250
Vitvi01g00181,VIT_01s0011g02260
Vitvi01g00182,VIT_01s0011g02270
Vitvi01g00183,VIT_01s0011g02280
Vitvi01g00185,VIT_01s0011g02290
Vitvi01g00186,VIT_01s0011g02300
Vitvi01g00187,VIT_01s0011g02310
Vitvi01g00188,VIT_01s0011g02320
Vitvi01g00189,VIT_01s0011g02330
Vitvi01g00190,VIT_01s0011g02340
Vitvi01g00191,VIT_01s0011g02350
Vitvi01g00192,VIT_01s0011g02360
Vitvi01g00196,VIT_01s0011g02460
Vitvi01g00198,VIT_01s0011g02470
Vitvi01g00199,VIT_01s0011g02480
Vitvi01g00201,VIT_01s0011g02490
