new,old,loc
Vitvi00g00606,VIT_00s0391g00070,LOC100258475
Vitvi00g00607,VIT_00s0392g00010,LOC104878378
Vitvi00g00608,VIT_00s0392g00040,LOC104878380
Vitvi00g00609,VIT_00s0392g00050,LOC104878377
Vitvi00g00610,VIT_00s0396g00020,LOC100254438
Vitvi00g00610,VIT_00s0396g00010,LOC100254438
Vitvi00g00612,VIT_00s0396g00030,LOC100853704
Vitvi00g00615,VIT_00s0396g00050,LOC104878382
Vitvi00g00616,VIT_00s0396g00060,
Vitvi00g00617,VIT_00s0397g00040,
Vitvi00g00619,VIT_00s0398g00010,LOC100265431
Vitvi00g00620,VIT_00s0398g00040,LOC104877385
Vitvi00g00621,VIT_00s0400g00010,
Vitvi00g00622,VIT_00s0400g00050,
Vitvi00g00624,,LOC100854351
Vitvi00g00627,VIT_00s0406g00010,LOC104878392
Vitvi00g00628,VIT_00s0408g00010,
Vitvi00g00629,VIT_00s0410g00040,
Vitvi00g00633,,LOC100855237
Vitvi00g00635,VIT_00s0414g00010,LOC100250126
Vitvi00g00641,,LOC104878399
Vitvi00g00643,VIT_00s0420g00010,LOC100253499
Vitvi00g00645,VIT_00s0420g00030,
Vitvi00g00647,VIT_00s0421g00030,
Vitvi00g00651,VIT_00s0425g00020,
Vitvi00g00653,VIT_00s0426g00010,LOC100250988
Vitvi00g00657,VIT_00s0434g00020,LOC100853740
Vitvi00g00659,VIT_00s0434g00060,LOC100853626
Vitvi00g00660,VIT_00s0434g00080,LOC100264340
Vitvi00g00661,VIT_00s0434g00090,LOC100853521
Vitvi00g00663,VIT_00s0437g00010,
Vitvi00g00664,VIT_00s0437g00020,
Vitvi00g00667,VIT_00s0437g00050,LOC100260488
Vitvi00g00667,VIT_00s0437g00060,LOC100260488
Vitvi00g00668,VIT_00s0437g00070,LOC100853934
Vitvi00g00671,VIT_00s0438g00010,
Vitvi00g00675,VIT_00s0441g00010,LOC100263736
Vitvi00g00676,VIT_00s0441g00020,LOC100854014
Vitvi00g00679,,LOC100854317
Vitvi00g00681,,LOC104878409
Vitvi00g00686,VIT_00s0454g00030,LOC100254828
Vitvi00g00688,VIT_00s0454g00040,
Vitvi00g00690,VIT_00s0456g00020,LOC104878411
Vitvi00g00691,,LOC100854835
Vitvi00g00694,VIT_00s0462g00010,LOC104878413
Vitvi00g00695,VIT_00s0467g00020,LOC100261901
Vitvi00g00695,VIT_00s0467g00010,LOC100261901
Vitvi00g00697,,LOC104878416
Vitvi00g00698,,LOC104878417
Vitvi00g00701,VIT_00s0479g00010,LOC104878423
Vitvi00g00702,VIT_00s0479g00020,LOC100852860
Vitvi00g00703,VIT_00s0480g00010,LOC100266951
Vitvi00g00704,VIT_00s0480g00060,
Vitvi00g00705,VIT_00s0481g00030,
Vitvi00g00706,,LOC104877374
Vitvi00g00707,VIT_00s0484g00040,LOC104878426
Vitvi00g00708,VIT_00s0485g00010,
Vitvi00g00709,VIT_00s0485g00020,LOC104878427
Vitvi00g00710,VIT_00s0487g00030,LOC100264041
Vitvi00g00711,VIT_00s0487g00050,LOC100853448
Vitvi00g00712,VIT_02s0488g00010,LOC104882170
Vitvi00g00713,VIT_02s0488g00020,LOC100249424
Vitvi00g00714,VIT_02s0488g00030,LOC100853058
Vitvi00g00714,VIT_02s0488g00040,LOC100853058
Vitvi00g00719,VIT_00s0499g00010,LOC100257189
Vitvi00g00723,VIT_00s0499g00020,LOC100267455
Vitvi00g00724,VIT_00s0499g00030,LOC100853715
Vitvi00g00725,VIT_00s0499g00040,LOC100261350
Vitvi00g00725,VIT_00s0499g00050,LOC100261350
Vitvi00g00727,VIT_00s0504g00010,
Vitvi00g00729,VIT_00s0505g00030,LOC104878429
Vitvi00g00732,VIT_00s0505g00040,LOC104878430
Vitvi00g00736,VIT_00s0507g00010,LOC104878431
Vitvi00g00738,VIT_00s0513g00010,LOC104878432
Vitvi00g00740,VIT_00s0513g00020,LOC100854318
Vitvi00g00741,VIT_00s0521g00010,LOC100854658
Vitvi00g00745,VIT_00s0524g00010,
Vitvi00g00746,VIT_00s0524g00020,
Vitvi00g00747,VIT_00s0524g00030,LOC100264137
Vitvi00g00747,VIT_00s0524g00040,LOC100264137
Vitvi00g00749,VIT_00s0525g00010,LOC100247560
Vitvi00g00750,VIT_00s0525g00020,LOC100262930
Vitvi00g00751,VIT_00s0525g00030,LOC100242428
Vitvi00g00752,VIT_00s0525g00040,LOC100264711
Vitvi00g00753,VIT_00s0525g00050,LOC100259537
Vitvi00g00757,VIT_00s0526g00010,
Vitvi00g00758,VIT_00s0527g00010,LOC104878439
Vitvi00g00759,,LOC100267454
Vitvi00g00760,VIT_00s0527g00020,LOC100262292
Vitvi00g00761,VIT_00s0527g00030,LOC100260626
Vitvi00g00764,,LOC100246762
Vitvi00g00765,VIT_00s0531g00030,LOC100251803
Vitvi00g00766,VIT_00s0531g00040,LOC100257026
Vitvi00g00767,VIT_00s0531g00050,LOC100855181
Vitvi00g00769,VIT_00s0532g00020,LOC100254496
Vitvi00g00770,VIT_00s0532g00050,LOC100245935
Vitvi00g00771,VIT_00s0532g00060,LOC100252710
Vitvi00g00772,VIT_00s0532g00070,LOC100852482
Vitvi00g00773,VIT_00s0533g00020,LOC100253528
Vitvi00g00774,VIT_00s0533g00030,
Vitvi00g00775,VIT_00s0533g00040,LOC100258674
Vitvi00g00778,VIT_00s0540g00010,LOC100258593
Vitvi00g00779,VIT_00s0540g00040,LOC100852745
Vitvi00g00781,VIT_00s0540g00050,LOC104877292
Vitvi00g00784,VIT_00s0551g00020,LOC100852778
Vitvi00g00785,VIT_00s0551g00030,LOC100852861
Vitvi00g00786,VIT_00s0556g00010,LOC100853039
Vitvi00g00788,VIT_00s0557g00010,LOC104878448
Vitvi00g00789,VIT_00s0558g00010,LOC100246072
Vitvi00g00790,VIT_00s0558g00020,LOC100245758
Vitvi00g00791,,LOC104878449
Vitvi00g00792,VIT_00s0558g00030,LOC100261134
Vitvi00g00793,VIT_00s0559g00010,LOC104878450
Vitvi00g00794,VIT_00s0561g00020,LOC100853236
Vitvi00g00795,VIT_00s0561g00030,LOC100243034
Vitvi00g00796,,LOC104878453
Vitvi00g00798,VIT_00s0572g00010,LOC100853639
Vitvi00g00801,VIT_00s0572g00020,LOC100853679
Vitvi00g00802,,LOC104878458
Vitvi00g00805,,LOC104878459
Vitvi00g00806,VIT_00s0574g00030,LOC100246586
Vitvi00g00807,VIT_00s0580g00010,LOC100250441
Vitvi00g00807,VIT_00s0580g00020,LOC100250441
Vitvi00g00808,VIT_00s0581g00010,LOC100854130
Vitvi00g00809,VIT_00s0582g00030,LOC104878462
Vitvi00g00810,VIT_00s0585g00020,LOC100248174
Vitvi00g00811,VIT_00s0587g00010,
Vitvi00g00812,,LOC100253832
Vitvi00g00813,VIT_00s0587g00030,LOC100267148
Vitvi00g00814,VIT_00s0587g00040,LOC100248155
Vitvi00g00816,VIT_00s0590g00010,LOC100266094
Vitvi00g00818,VIT_00s0591g00010,LOC100247853
Vitvi00g00820,VIT_00s0593g00010,
Vitvi00g00822,VIT_00s0595g00020,LOC100249824
Vitvi00g00822,VIT_00s0595g00010,LOC100249824
Vitvi00g00827,VIT_00s0603g00010,
Vitvi00g00829,VIT_00s0606g00010,LOC104878467
Vitvi00g00833,VIT_00s0611g00010,LOC100855238
Vitvi00g00835,VIT_00s0615g00030,LOC100255907
Vitvi00g00835,VIT_00s0615g00040,LOC100255907
Vitvi00g00836,VIT_00s0616g00010,LOC100251916
Vitvi00g00838,VIT_00s0616g00020,LOC100263826
Vitvi00g00839,VIT_00s0616g00030,LOC100257048
Vitvi00g00844,VIT_00s0620g00010,LOC100247003
Vitvi00g00845,VIT_00s0620g00020,LOC100265608
Vitvi00g00852,VIT_00s0625g00050,LOC100852907
Vitvi00g00856,VIT_00s0629g00020,
Vitvi00g00857,VIT_00s0630g00010,LOC100261774
Vitvi00g00859,VIT_00s0632g00010,LOC100261286
Vitvi00g00861,VIT_00s0634g00030,LOC100250085
Vitvi00g00862,VIT_00s0642g00010,LOC100248721
Vitvi00g00864,VIT_00s0646g00010,
Vitvi00g00869,VIT_00s0657g00010,LOC100853545
